"Nid","Title","PID","T-PEN URI","Author UID","Post Date","Updated Date","Published status"
"958","Letter: Residence de la Conception-aux-Hurons, to M. le curé de St. Martin, à Beauvais [France], 1639 May 25 (paleography:444)","paleography:444","https://transcribe-stg.library.utoronto.ca/paleography/project/438
","782","Sunday, January 24, 2016 - 19:37","Sunday, January 24, 2016 - 19:37","Yes"
"971","Acknowldgement of patronage (paleography:2066)","paleography:2066","https://transcribe-stg.library.utoronto.ca/paleography/project/478
","2991","Sunday, January 24, 2016 - 20:38","Sunday, January 24, 2016 - 20:38","Yes"
"975","Agreement to join fiefs (paleography:2067)","paleography:2067","https://transcribe-stg.library.utoronto.ca/paleography/project/482
","2991","Sunday, January 24, 2016 - 20:45","Sunday, January 24, 2016 - 20:45","Yes"
"976","Register of notary Guillaume Peytralis for 1582-1583 (part 3) (paleography:480)","paleography:480","https://transcribe-stg.library.utoronto.ca/paleography/project/497
","782","Sunday, January 24, 2016 - 21:15","Sunday, January 24, 2016 - 21:15","Yes"
"984","Certified account rendered for vellum, ink and paper, furnished to the office of the King’s advocate at Toulouse from St. Martin’s day 1485 to October 1486, by Simon, ""marchant parcheminier"" (paleography:463)","paleography:463","https://transcribe-stg.library.utoronto.ca/paleography/project/511
","2991","Sunday, January 24, 2016 - 22:13","Sunday, January 24, 2016 - 22:13","Yes"
"985","Cession de créance par Charles de Biencourt (paleography:442)","paleography:442","https://transcribe-stg.library.utoronto.ca/paleography/project/512
","2991","Sunday, January 24, 2016 - 22:14","Sunday, January 24, 2016 - 22:14","Yes"
"987","Charitable donation of land to benefit the poor of Quebec City (paleography:473)","paleography:473","https://transcribe-stg.library.utoronto.ca/paleography/project/515
","2991","Sunday, January 24, 2016 - 22:15","Sunday, January 24, 2016 - 22:15","Yes"
"989","Investiture de l'Ile d'Orléans (paleography:443)","paleography:443","https://transcribe-stg.library.utoronto.ca/paleography/project/520
","782","Monday, January 25, 2016 - 09:40","Monday, January 25, 2016 - 09:40","Yes"
"992","Acknowldgement of patronage (paleography:2066)","paleography:2066","https://transcribe.library.utoronto.ca/paleography/project/524
","1","Monday, January 25, 2016 - 11:00","Monday, January 25, 2016 - 11:00","Yes"
"993","A nosseigneurs de la Cour des Aydes [calligraphy sample: mock legal document] (paleography:418)","paleography:418","https://transcribe.library.utoronto.ca/paleography/project/527
","2991","Monday, January 25, 2016 - 11:36","Monday, January 25, 2016 - 11:36","Yes"
"995","Acknowldgement of patronage (paleography:2066)","paleography:2066","https://transcribe.library.utoronto.ca/paleography/project/541
","3015","Monday, January 25, 2016 - 12:48","Monday, January 25, 2016 - 12:48","Yes"
"998","Investiture de l'Ile d'Orléans (paleography:443)","paleography:443","https://transcribe.library.utoronto.ca/paleography/project/547
","2991","Monday, January 25, 2016 - 13:02","Monday, January 25, 2016 - 13:02","Yes"
"1001","Letter: Residence de la Conception-aux-Hurons, to M. le curé de St. Martin, à Beauvais [France], 1639 May 25 (paleography:444)","paleography:444","https://transcribe.library.utoronto.ca/paleography/project/549
","2991","Monday, January 25, 2016 - 13:05","Monday, January 25, 2016 - 13:05","Yes"
"1004","Account book (paleography:2070)","paleography:2070","https://transcribe.library.utoronto.ca/paleography/project/552
","3017","Monday, January 25, 2016 - 13:09","Monday, January 25, 2016 - 13:09","Yes"
"1006","Account book (paleography:2070)","paleography:2070","https://transcribe.library.utoronto.ca/paleography/project/554
","3017","Monday, January 25, 2016 - 13:10","Monday, January 25, 2016 - 13:10","Yes"
"1007","Legal documents concerning the inventory of the estate of Jean Nicollet (paleography:445)","paleography:445","https://transcribe.library.utoronto.ca/paleography/project/556
","2991","Monday, January 25, 2016 - 13:16","Monday, January 25, 2016 - 13:16","Yes"
"1010","Pompe funebre de Mr le cardinal de Richelieu (paleography:446)","paleography:446","https://transcribe.library.utoronto.ca/paleography/project/558
","2991","Monday, January 25, 2016 - 13:34","Monday, January 25, 2016 - 13:34","Yes"
"1011","Fur trade contract between François Francoeur and four ""voyageurs"" for transport of goods and purchase of beaver pelts in Michilimackinac and Chicago (paleography:447)","paleography:447","https://transcribe.library.utoronto.ca/paleography/project/560
","2991","Monday, January 25, 2016 - 14:16","Monday, January 25, 2016 - 14:16","Yes"
"1013","Aveu et dénombrement de la seigneurie de Taillepied (paleography:448)","paleography:448","","2991","Monday, January 25, 2016 - 14:17","Monday, January 25, 2016 - 14:17","Yes"
"1016","Proclamation dated January 1420 by which King Charles VI of France disinherits his son the dauphin (future King Charles VII) (paleography:449)","paleography:449","https://transcribe.library.utoronto.ca/paleography/project/564
","2991","Monday, January 25, 2016 - 14:20","Monday, January 25, 2016 - 14:20","Yes"
"1020","Lancelot du lac (paleography:451)","paleography:451","https://transcribe.library.utoronto.ca/paleography/project/568
","2991","Monday, January 25, 2016 - 15:17","Monday, January 25, 2016 - 15:17","Yes"
"1023","De l'occasion et de la fortune (paleography:450)","paleography:450","https://transcribe.library.utoronto.ca/paleography/project/570
","2991","Monday, January 25, 2016 - 15:19","Monday, January 25, 2016 - 15:19","Yes"
"1024","Commentaries on William Rastell's Collection of all the statutes (paleography:452)","paleography:452","https://transcribe.library.utoronto.ca/paleography/project/571
","2991","Monday, January 25, 2016 - 15:21","Monday, January 25, 2016 - 15:21","Yes"
"1025","Sixieme livre du Proces d'amour (paleography:453)","paleography:453","https://transcribe.library.utoronto.ca/paleography/project/573
","2991","Monday, January 25, 2016 - 15:22","Monday, January 25, 2016 - 15:22","Yes"
"1033","Double contrat de mariage entre les familles Berugnot et Baptauld (paleography:454)","paleography:454","","2991","Monday, January 25, 2016 - 15:25","Monday, January 25, 2016 - 15:25","Yes"
"1035","Déclaration de Michel Mercier de tenue en bourgage de sa maison a Alencon (paleography:455)","paleography:455","https://transcribe.library.utoronto.ca/paleography/project/585
","2991","Monday, January 25, 2016 - 15:28","Monday, January 25, 2016 - 15:28","Yes"
"1036","Acknowldgement of patronage (paleography:2066)","paleography:2066","https://transcribe.library.utoronto.ca/paleography/project/587
","3023","Monday, January 25, 2016 - 16:28","Monday, January 25, 2016 - 16:28","Yes"
"1038","Double contrat de mariage entre les familles Berugnot et Baptauld (paleography:454)","paleography:454","","2991","Monday, January 25, 2016 - 17:09","Monday, January 25, 2016 - 17:09","Yes"
"1039","Bail à cens de la seigneurie de Bonnabaud (paleography:491)","paleography:491","https://transcribe.library.utoronto.ca/paleography/project/590
","1","Monday, January 25, 2016 - 17:20","Monday, January 25, 2016 - 17:20","Yes"
"1042","Acte de foy et hommage au profit de noble homme Claude de Vignes, seigneur de la Vischardière (paleography:2074)","paleography:2074","https://transcribe.library.utoronto.ca/paleography/project/591
","1","Monday, January 25, 2016 - 17:30","Monday, January 25, 2016 - 17:30","Yes"
"1045","Vente de la moitié d'une maison (paleography:477)","paleography:477","https://transcribe.library.utoronto.ca/paleography/project/592
","1","Monday, January 25, 2016 - 17:32","Monday, January 25, 2016 - 17:32","Yes"
"1049","Recognoissance des enfans et heretiers de feu Berthomé de Bazas (paleography:460)","paleography:460","https://transcribe.library.utoronto.ca/paleography/project/594
","1","Monday, January 25, 2016 - 17:55","Monday, January 25, 2016 - 17:55","Yes"
"1052","Cartulaire de l'Abbaye-aux-Bois (paleography:2055)","paleography:2055","https://transcribe.library.utoronto.ca/paleography/project/595
","782","Monday, January 25, 2016 - 18:22","Monday, January 25, 2016 - 18:22","Yes"
"1053","A nosseigneurs de la Cour des Aydes [calligraphy sample: mock legal document] (paleography:418)","paleography:418","https://transcribe.library.utoronto.ca/paleography/project/597
","3037","Tuesday, January 26, 2016 - 03:35","Tuesday, January 26, 2016 - 03:35","Yes"
"1055","Book of Esther (beginning) (paleography:1816)","paleography:1816","","3040","Tuesday, January 26, 2016 - 05:24","Tuesday, January 26, 2016 - 05:24","Yes"
"1058","Cartulaire de l'Abbaye-aux-Bois (paleography:2055)","paleography:2055","https://transcribe.library.utoronto.ca/paleography/project/601
","3047","Tuesday, January 26, 2016 - 06:58","Tuesday, January 26, 2016 - 06:58","Yes"
"1061","Prussurot-Raveneau printing partnership agreement (paleography:500)","paleography:500","https://transcribe.library.utoronto.ca/paleography/project/604
","2482","Tuesday, January 26, 2016 - 10:02","Tuesday, January 26, 2016 - 10:02","Yes"
"1062","Bail du moulin de Les Roches-l'Evêque, 1593 (paleography:468)","paleography:468","https://transcribe.library.utoronto.ca/paleography/project/607
","2492","Tuesday, January 26, 2016 - 10:06","Tuesday, January 26, 2016 - 10:06","Yes"
"1073","Quittance for payment for military expenses in Picardy (paleography:2073)","paleography:2073","https://transcribe.library.utoronto.ca/paleography/project/619
","2485","Tuesday, January 26, 2016 - 11:22","Tuesday, January 26, 2016 - 11:22","Yes"
"1077","Quittance for payment for military expenses in Picardy (paleography:2073)","paleography:2073","https://transcribe.library.utoronto.ca/paleography/project/622
","2878","Tuesday, January 26, 2016 - 12:12","Tuesday, January 26, 2016 - 12:12","Yes"
"1078","Account book (paleography:2070)","paleography:2070","https://transcribe.library.utoronto.ca/paleography/project/620
","2878","Tuesday, January 26, 2016 - 12:12","Tuesday, January 26, 2016 - 12:12","Yes"
"1081","Fables and other poems (paleography:2065)","paleography:2065","","2878","Tuesday, January 26, 2016 - 12:55","Tuesday, January 26, 2016 - 12:55","Yes"
"1083","Bail à cens de la seigneurie de Bonnabaud (paleography:491)","paleography:491","https://transcribe.library.utoronto.ca/paleography/project/627
","3064","Tuesday, January 26, 2016 - 14:15","Tuesday, January 26, 2016 - 14:15","Yes"
"1087","Fables and other poems (paleography:2065)","paleography:2065","","3067","Tuesday, January 26, 2016 - 14:49","Tuesday, January 26, 2016 - 14:49","Yes"
"1089","Recueil des Serées (paleography:438)","paleography:438","","3067","Tuesday, January 26, 2016 - 14:50","Tuesday, January 26, 2016 - 14:50","Yes"
"1092","Fables and other poems (paleography:2065)","paleography:2065","","3067","Tuesday, January 26, 2016 - 14:50","Tuesday, January 26, 2016 - 14:50","Yes"
"1095","Account book (paleography:2070)","paleography:2070","https://transcribe.library.utoronto.ca/paleography/project/640
","3073","Tuesday, January 26, 2016 - 15:13","Tuesday, January 26, 2016 - 15:13","Yes"
"1098","A nosseigneurs de la Cour des Aydes [calligraphy sample: mock legal document] (paleography:418)","paleography:418","https://transcribe.library.utoronto.ca/paleography/project/642
","3076","Tuesday, January 26, 2016 - 15:14","Tuesday, January 26, 2016 - 15:14","Yes"
"1101","Book of Esther (beginning) (paleography:1816)","paleography:1816","","3076","Tuesday, January 26, 2016 - 15:16","Tuesday, January 26, 2016 - 15:16","Yes"
"1105","Payment au nain de la reine (paleography:2079)","paleography:2079","https://transcribe.library.utoronto.ca/paleography/project/649
","3076","Tuesday, January 26, 2016 - 15:44","Tuesday, January 26, 2016 - 15:44","Yes"
"1107","Meslanges curieux de litterature et d'histoire (paleography:496)","paleography:496","","3076","Tuesday, January 26, 2016 - 15:43","Tuesday, January 26, 2016 - 15:43","Yes"
"1108","Recognoissance des enfans et heretiers de feu Berthomé de Bazas (paleography:460)","paleography:460","https://transcribe.library.utoronto.ca/paleography/project/654
","3076","Tuesday, January 26, 2016 - 15:45","Tuesday, January 26, 2016 - 15:45","Yes"
"1110","Vers d'amour (paleography:462)","paleography:462","https://transcribe.library.utoronto.ca/paleography/project/657
","3076","Tuesday, January 26, 2016 - 15:46","Tuesday, January 26, 2016 - 15:46","Yes"
"1113","Aveu et dénombrement de la seigneurie de Taillepied (paleography:448)","paleography:448","","3064","Tuesday, January 26, 2016 - 15:45","Tuesday, January 26, 2016 - 15:45","Yes"
"1114","Aveu et dénombrement de la seigneurie de Taillepied (paleography:448)","paleography:448","","3064","Tuesday, January 26, 2016 - 15:53","Tuesday, January 26, 2016 - 15:53","Yes"
"1117","Acknowldgement of patronage (paleography:2066)","paleography:2066","https://transcribe.library.utoronto.ca/paleography/project/660
","2305","Tuesday, January 26, 2016 - 15:55","Tuesday, January 26, 2016 - 15:55","Yes"
"1120","Vers d'amour (paleography:462)","paleography:462","","2305","Tuesday, January 26, 2016 - 15:57","Tuesday, January 26, 2016 - 15:57","Yes"
"1127","Traicté des modes, ou tons, de la musique (paleography:470)","paleography:470","","3077","Tuesday, January 26, 2016 - 16:00","Tuesday, January 26, 2016 - 16:00","Yes"
"1129","A nosseigneurs de la Cour des Aydes [calligraphy sample: mock legal document] (paleography:418)","paleography:418","","3064","Tuesday, January 26, 2016 - 16:09","Tuesday, January 26, 2016 - 16:09","Yes"
"1132","A nosseigneurs de la Cour des Aydes [calligraphy sample: mock legal document] (paleography:418)","paleography:418","","3064","Tuesday, January 26, 2016 - 16:11","Tuesday, January 26, 2016 - 16:11","Yes"
"1139","Traicté des modes, ou tons, de la musique (paleography:470)","paleography:470","","3077","Tuesday, January 26, 2016 - 16:19","Tuesday, January 26, 2016 - 16:19","Yes"
"1144","Traicté des modes, ou tons, de la musique (paleography:470)","paleography:470","","3077","Tuesday, January 26, 2016 - 16:22","Tuesday, January 26, 2016 - 16:22","Yes"
"1146","Harangue faicte à la Royne mere du Roy à Poictiers par le seigneur de Salevert, presidial de ladicte ville, le lendemain de son arrivée qui fut le vingt huictiesme novembre 1575 (paleography:429)","paleography:429","","3088","Tuesday, January 26, 2016 - 16:29","Tuesday, January 26, 2016 - 16:29","Yes"
"1148","Monsieur de Ville Roy... (paleography:436)","paleography:436","","3088","Tuesday, January 26, 2016 - 16:30","Tuesday, January 26, 2016 - 16:30","Yes"
"1150","Monsieur de Ville Roy... (paleography:436)","paleography:436","","3088","Tuesday, January 26, 2016 - 16:32","Tuesday, January 26, 2016 - 16:32","Yes"
"1152","Book of Esther (beginning) (paleography:1816)","paleography:1816","","3094","Tuesday, January 26, 2016 - 16:40","Tuesday, January 26, 2016 - 16:40","Yes"
"1155","Book of Esther (beginning) (paleography:1816)","paleography:1816","","3094","Tuesday, January 26, 2016 - 16:41","Tuesday, January 26, 2016 - 16:41","Yes"
"1156","A nosseigneurs de la Cour des Aydes [calligraphy sample: mock legal document] (paleography:418)","paleography:418","","3095","Tuesday, January 26, 2016 - 17:01","Tuesday, January 26, 2016 - 17:01","Yes"
"1157","Les xv joyes Nostre Dame (paleography:404)","paleography:404","","452","Tuesday, January 26, 2016 - 17:26","Tuesday, January 26, 2016 - 17:26","Yes"
"1159","Traicté des modes, ou tons, de la musique (paleography:470)","paleography:470","","3061","Tuesday, January 26, 2016 - 17:39","Tuesday, January 26, 2016 - 17:39","Yes"
"1162","Traicté des modes, ou tons, de la musique (paleography:470)","paleography:470","","3061","Tuesday, January 26, 2016 - 17:40","Tuesday, January 26, 2016 - 17:40","Yes"
"1165","Traicté des modes, ou tons, de la musique (paleography:470)","paleography:470","","3099","Tuesday, January 26, 2016 - 17:48","Tuesday, January 26, 2016 - 17:48","Yes"
"1168","Book of Esther (beginning) (paleography:1816)","paleography:1816","","3061","Tuesday, January 26, 2016 - 17:52","Tuesday, January 26, 2016 - 17:52","Yes"
"1169","A nosseigneurs de la Cour des Aydes [calligraphy sample: mock legal document] (paleography:418)","paleography:418","","3069","Tuesday, January 26, 2016 - 17:53","Tuesday, January 26, 2016 - 17:53","Yes"
"1170","Bail du moulin de Les Roches-l'Evêque, 1593 (paleography:468)","paleography:468","","3069","Tuesday, January 26, 2016 - 17:54","Tuesday, January 26, 2016 - 17:54","Yes"
"1171","Censier du seizième siècle pour la paroisse de Payns, bailliage de Troyes (paleography:465)","paleography:465","","3069","Tuesday, January 26, 2016 - 17:55","Tuesday, January 26, 2016 - 17:55","Yes"
"1174","Pensées (paleography:457)","paleography:457","","3069","Tuesday, January 26, 2016 - 17:59","Tuesday, January 26, 2016 - 17:59","Yes"
"1177","Agreement to join fiefs (paleography:2067)","paleography:2067","https://transcribe.library.utoronto.ca/paleography/project/663
","3103","Tuesday, January 26, 2016 - 18:25","Tuesday, January 26, 2016 - 18:25","Yes"
"1178","Book of Esther (beginning) (paleography:1816)","paleography:1816","","3103","Tuesday, January 26, 2016 - 18:27","Tuesday, January 26, 2016 - 18:27","Yes"
"1179","Book of Esther (beginning) (paleography:1816)","paleography:1816","","3103","Tuesday, January 26, 2016 - 18:29","Tuesday, January 26, 2016 - 18:29","Yes"
"1181","De l'occasion et de la fortune (paleography:450)","paleography:450","","3112","Tuesday, January 26, 2016 - 19:08","Tuesday, January 26, 2016 - 19:08","Yes"
"1182","De l'occasion et de la fortune (paleography:450)","paleography:450","","3112","Tuesday, January 26, 2016 - 19:08","Tuesday, January 26, 2016 - 19:08","Yes"
"1184","De l'occasion et de la fortune (paleography:450)","paleography:450","","3112","Tuesday, January 26, 2016 - 19:13","Tuesday, January 26, 2016 - 19:13","Yes"
"1185","Monsieur de Ville Roy... (paleography:436)","paleography:436","https://transcribe.library.utoronto.ca/paleography/project/667
","3113","Tuesday, January 26, 2016 - 20:04","Tuesday, January 26, 2016 - 20:04","Yes"
"1188","De la preuve par comparaison d'ecritures (paleography:422)","paleography:422","","3113","Tuesday, January 26, 2016 - 20:05","Tuesday, January 26, 2016 - 20:05","Yes"
"1191","De la preuve par comparaison d'ecritures (paleography:422)","paleography:422","","3113","Tuesday, January 26, 2016 - 20:06","Tuesday, January 26, 2016 - 20:06","Yes"
"1193","De la preuve par comparaison d'ecritures (paleography:422)","paleography:422","","3113","Tuesday, January 26, 2016 - 20:06","Tuesday, January 26, 2016 - 20:06","Yes"
"1195","Register of notary Guillaume Peytralis for 1582-1583 (part 1) (paleography:456)","paleography:456","https://transcribe.library.utoronto.ca/paleography/project/676
","2991","Tuesday, January 26, 2016 - 21:33","Tuesday, January 26, 2016 - 21:33","Yes"
"1196","Pensées (paleography:457)","paleography:457","https://transcribe.library.utoronto.ca/paleography/project/678
","2991","Tuesday, January 26, 2016 - 21:36","Tuesday, January 26, 2016 - 21:36","Yes"
"1199","Chroniques de Jean Froissart, vol. 1 (paleography:458)","paleography:458","","2991","Tuesday, January 26, 2016 - 21:38","Tuesday, January 26, 2016 - 21:38","Yes"
"1200","Chroniques de Jean Froissart, vol. 2 (paleography:459)","paleography:459","","2991","Tuesday, January 26, 2016 - 21:40","Tuesday, January 26, 2016 - 21:40","Yes"
"1202","Recognoissance des enfans et heretiers de feu Berthomé de Bazas (paleography:460)","paleography:460","https://transcribe.library.utoronto.ca/paleography/project/682
","2991","Tuesday, January 26, 2016 - 21:44","Tuesday, January 26, 2016 - 21:44","Yes"
"1205","Household account for the French royal household at Amboise (paleography:461)","paleography:461","https://transcribe.library.utoronto.ca/paleography/project/685
","2991","Tuesday, January 26, 2016 - 21:48","Tuesday, January 26, 2016 - 21:48","Yes"
"1206","Vers d'amour (paleography:462)","paleography:462","https://transcribe.library.utoronto.ca/paleography/project/687
","2991","Tuesday, January 26, 2016 - 21:52","Tuesday, January 26, 2016 - 21:52","Yes"
"1208","Censier du seizième siècle pour la paroisse de Payns, bailliage de Troyes (paleography:465)","paleography:465","https://transcribe.library.utoronto.ca/paleography/project/688
","464","Tuesday, January 26, 2016 - 21:53","Tuesday, January 26, 2016 - 21:53","Yes"
"1211","Marriage contract of Sauveur de Lombard and Antoinette de Geoffroy (paleography:464)","paleography:464","https://transcribe.library.utoronto.ca/paleography/project/689
","2991","Tuesday, January 26, 2016 - 21:58","Tuesday, January 26, 2016 - 21:58","Yes"
"1213","Censier du seizième siècle pour la paroisse de Payns, bailliage de Troyes (paleography:465)","paleography:465","https://transcribe.library.utoronto.ca/paleography/project/690
","2991","Tuesday, January 26, 2016 - 21:59","Tuesday, January 26, 2016 - 21:59","Yes"
"1216","Papier terrier de la seignerie de Perthes, renouvelé en l’an 1578 pour les Célestins de Paris (paleography:466)","paleography:466","https://transcribe.library.utoronto.ca/paleography/project/691
","2991","Tuesday, January 26, 2016 - 22:02","Tuesday, January 26, 2016 - 22:02","Yes"
"1219","Grosse d'un jugement du bailli d'Orléans (paleography:467)","paleography:467","https://transcribe.library.utoronto.ca/paleography/project/693
","2991","Tuesday, January 26, 2016 - 22:04","Tuesday, January 26, 2016 - 22:04","Yes"
"1222","Bail du moulin de Les Roches-l'Evêque, 1593 (paleography:468)","paleography:468","https://transcribe.library.utoronto.ca/paleography/project/696
","2991","Tuesday, January 26, 2016 - 22:06","Tuesday, January 26, 2016 - 22:06","Yes"
"1224","Etats généraux du Languedoc, 1501-1516 (paleography:469)","paleography:469","https://transcribe.library.utoronto.ca/paleography/project/697
","2991","Tuesday, January 26, 2016 - 22:09","Tuesday, January 26, 2016 - 22:09","Yes"
"1226","Traicté des modes, ou tons, de la musique (paleography:470)","paleography:470","","2991","Tuesday, January 26, 2016 - 22:12","Tuesday, January 26, 2016 - 22:12","Yes"
"1228","Registre de la seigneurie de Gourdon tenue par Louis et François de Lombard (paleography:471)","paleography:471","","2991","Tuesday, January 26, 2016 - 22:15","Tuesday, January 26, 2016 - 22:15","Yes"
"1231","Letters and decrees issued by the Parlement de Bordeaux (paleography:472)","paleography:472","https://transcribe.library.utoronto.ca/paleography/project/705
","2991","Tuesday, January 26, 2016 - 22:18","Tuesday, January 26, 2016 - 22:18","Yes"
"1233","Inventaire du mobilier et du matériel d’imprimerie de Jean Chardon (paleography:474)","paleography:474","","2991","Tuesday, January 26, 2016 - 22:20","Tuesday, January 26, 2016 - 22:20","Yes"
"1235","Mortgage contract on properties of Pontchartrain and Palluau (paleography:475)","paleography:475","https://transcribe.library.utoronto.ca/paleography/project/709
","2991","Tuesday, January 26, 2016 - 22:24","Tuesday, January 26, 2016 - 22:24","Yes"
"1237","Mariage de Guillaume Lobeyrie et Anthonie Anglade (paleography:476)","paleography:476","https://transcribe.library.utoronto.ca/paleography/project/712
","2991","Tuesday, January 26, 2016 - 22:26","Tuesday, January 26, 2016 - 22:26","Yes"
"1239","Vente de la moitié d'une maison (paleography:477)","paleography:477","https://transcribe.library.utoronto.ca/paleography/project/715
","2991","Tuesday, January 26, 2016 - 22:29","Tuesday, January 26, 2016 - 22:29","Yes"
"1242","Contrat de vente au profit de Gilles de l'Espine (paleography:478)","paleography:478","","2991","Tuesday, January 26, 2016 - 22:32","Tuesday, January 26, 2016 - 22:32","Yes"
"1244","Contrat de vente au profit de Gilles de l'Espine (paleography:478)","paleography:478","","2991","Tuesday, January 26, 2016 - 22:33","Tuesday, January 26, 2016 - 22:33","Yes"
"1247","Register of notary Guillaume Peytralis for 1582-1583 (part 2) (paleography:479)","paleography:479","https://transcribe.library.utoronto.ca/paleography/project/722
","2991","Tuesday, January 26, 2016 - 22:35","Tuesday, January 26, 2016 - 22:35","Yes"
"1248","Register of notary Guillaume Peytralis for 1582-1583 (part 3) (paleography:480)","paleography:480","https://transcribe.library.utoronto.ca/paleography/project/724
","2991","Tuesday, January 26, 2016 - 22:37","Tuesday, January 26, 2016 - 22:37","Yes"
"1249","Sentence du sénéchal d'Auvergne (paleography:481)","paleography:481","https://transcribe.library.utoronto.ca/paleography/project/727
","2991","Tuesday, January 26, 2016 - 22:41","Tuesday, January 26, 2016 - 22:41","Yes"
"1250","Vente au profit de Gabriel de Langeac (paleography:482)","paleography:482","https://transcribe.library.utoronto.ca/paleography/project/728
","2991","Tuesday, January 26, 2016 - 22:44","Tuesday, January 26, 2016 - 22:44","Yes"
"1251","Expédition du contrat de mariage de Catherine Lobeyrie et Jean Favy (paleography:483)","paleography:483","https://transcribe.library.utoronto.ca/paleography/project/729
","2991","Tuesday, January 26, 2016 - 22:46","Tuesday, January 26, 2016 - 22:46","Yes"
"1252","Mariage de Jean de Jardon et Françoise de Rochefort (paleography:484)","paleography:484","https://transcribe.library.utoronto.ca/paleography/project/730
","2991","Tuesday, January 26, 2016 - 22:48","Tuesday, January 26, 2016 - 22:48","Yes"
"1255","Partage de l'héritage de François de l'Estang (paleography:485)","paleography:485","https://transcribe.library.utoronto.ca/paleography/project/733
","2991","Tuesday, January 26, 2016 - 22:51","Tuesday, January 26, 2016 - 22:51","Yes"
"1257","Michel Brandon document (paleography:486)","paleography:486","","2991","Tuesday, January 26, 2016 - 22:54","Tuesday, January 26, 2016 - 22:54","Yes"
"1259","Mariage d'Annet d'Anglars et d'Anne de Rochegude (paleography:487)","paleography:487","","2991","Tuesday, January 26, 2016 - 22:56","Tuesday, January 26, 2016 - 22:56","Yes"
